Tx_ma,RX_ma,SRC_ma,DST_ma,0,RSSI,TX_rate,Time_sniff
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,811,0,39.0,2019-06-11 13:49:19.794008
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-50,39.0,2019-06-11 13:49:19.794158
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-54,39.0,2019-06-11 13:49:19.794373
b0:70:2d:ea:8d:1d,e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-36,65.0,2019-06-11 13:49:19.796155
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-52,39.0,2019-06-11 13:49:19.796164
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-53,39.0,2019-06-11 13:49:19.796650
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:19.813017
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.813029
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.813032
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:19.813874
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.813976
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.814126
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:19.815129
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.815141
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.815233
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.815467
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.815529
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.815750
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.815832
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:19.816385
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.816397
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,39.0,2019-06-11 13:49:19.817047
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:19.817294
